Type,PSCommandName
Assembly: Microsoft.PowerShell.Activities
Microsoft.PowerShell.Activities.GetCimAssociatedInstance,CimCmdlets\Get-CimAssociatedInstance
Microsoft.PowerShell.Activities.GetCimClass,CimCmdlets\Get-CimClass
Microsoft.PowerShell.Activities.GetCimInstance,CimCmdlets\Get-CimInstance
Microsoft.PowerShell.Activities.InvokeCimMethod,CimCmdlets\Invoke-CimMethod
Microsoft.PowerShell.Activities.NewCimInstance,CimCmdlets\New-CimInstance
Microsoft.PowerShell.Activities.NewCimSession,CimCmdlets\New-CimSession
Microsoft.PowerShell.Activities.NewCimSessionOption,CimCmdlets\New-CimSessionOption
Microsoft.PowerShell.Activities.RemoveCimInstance,CimCmdlets\Remove-CimInstance
cimcmdlets.Activities.SetCimInstance,CimCmdlets\Set-CimInstance
Assembly: Microsoft.PowerShell.Core.Activities
Microsoft.PowerShell.Core.Activities.DisablePSSessionConfiguration,Microsoft.PowerShell.Core\Disable-PSSessionConfiguration
Microsoft.PowerShell.Core.Activities.EnablePSRemoting,Microsoft.PowerShell.Core\Enable-PSRemoting
Microsoft.PowerShell.Core.Activities.DisablePSRemoting,Microsoft.PowerShell.Core\Disable-PSRemoting
Microsoft.PowerShell.Core.Activities.EnablePSSessionConfiguration,Microsoft.PowerShell.Core\Enable-PSSessionConfiguration
Microsoft.PowerShell.Core.Activities.ForEachObject,Microsoft.PowerShell.Core\ForEach-Object
Microsoft.PowerShell.Core.Activities.GetCommand,Microsoft.PowerShell.Core\Get-Command
Microsoft.PowerShell.Core.Activities.GetHelp,Microsoft.PowerShell.Core\Get-Help
Microsoft.PowerShell.Core.Activities.GetJob,Microsoft.PowerShell.Core\Get-Job
Microsoft.PowerShell.Core.Activities.GetModule,Microsoft.PowerShell.Core\Get-Module
Microsoft.PowerShell.Core.Activities.GetPSSession,Microsoft.PowerShell.Core\Get-PSSession
Microsoft.PowerShell.Core.Activities.GetPSSessionConfiguration,Microsoft.PowerShell.Core\Get-PSSessionConfiguration
Microsoft.PowerShell.Core.Activities.NewModuleManifest,Microsoft.PowerShell.Core\New-ModuleManifest
Microsoft.PowerShell.Core.Activities.TestPSSessionConfigurationFile,Microsoft.PowerShell.Core\Test-PSSessionConfigurationFile
Microsoft.PowerShell.Core.Activities.ReceiveJob,Microsoft.PowerShell.Core\Receive-Job
Microsoft.PowerShell.Core.Activities.RegisterPSSessionConfiguration,Microsoft.PowerShell.Core\Register-PSSessionConfiguration
Microsoft.PowerShell.Core.Activities.NewPSTransportOption,Microsoft.PowerShell.Core\New-PSTransportOption
Microsoft.PowerShell.Core.Activities.RemoveJob,Microsoft.PowerShell.Core\Remove-Job
Microsoft.PowerShell.Core.Activities.RemovePSSession,Microsoft.PowerShell.Core\Remove-PSSession
Microsoft.PowerShell.Core.Activities.SetPSSessionConfiguration,Microsoft.PowerShell.Core\Set-PSSessionConfiguration
Microsoft.PowerShell.Core.Activities.StartJob,Microsoft.PowerShell.Core\Start-Job
Microsoft.PowerShell.Core.Activities.StopJob,Microsoft.PowerShell.Core\Stop-Job
Microsoft.PowerShell.Core.Activities.TestModuleManifest,Microsoft.PowerShell.Core\Test-ModuleManifest
Microsoft.PowerShell.Core.Activities.UnregisterPSSessionConfiguration,Microsoft.PowerShell.Core\Unregister-PSSessionConfiguration
Microsoft.PowerShell.Core.Activities.UpdateHelp,Microsoft.PowerShell.Core\Update-Help
Microsoft.PowerShell.Core.Activities.WaitJob,Microsoft.PowerShell.Core\Wait-Job
Microsoft.PowerShell.Core.Activities.WhereObject,Microsoft.PowerShell.Core\Where-Object
Microsoft.PowerShell.Core.Activities.SaveHelp,Microsoft.PowerShell.Core\Save-Help
Microsoft.PowerShell.Core.Activities.SuspendJob,Microsoft.PowerShell.Core\Suspend-Job
Microsoft.PowerShell.Core.Activities.ResumeJob,Microsoft.PowerShell.Core\Resume-Job
Assembly: Microsoft.PowerShell.Management.Activities
Microsoft.PowerShell.Management.Activities.AddComputer,Microsoft.PowerShell.Management\Add-Computer
Microsoft.PowerShell.Management.Activities.AddContent,Microsoft.PowerShell.Management\Add-Content
Microsoft.PowerShell.Management.Activities.CheckpointComputer,Microsoft.PowerShell.Management\Checkpoint-Computer
Microsoft.PowerShell.Management.Activities.ClearContent,Microsoft.PowerShell.Management\Clear-Content
Microsoft.PowerShell.Management.Activities.ClearEventLog,Microsoft.PowerShell.Management\Clear-EventLog
Microsoft.PowerShell.Management.Activities.ClearItem,Microsoft.PowerShell.Management\Clear-Item
Microsoft.PowerShell.Management.Activities.ClearItemProperty,Microsoft.PowerShell.Management\Clear-ItemProperty
Microsoft.PowerShell.Management.Activities.ClearRecycleBin,Microsoft.PowerShell.Management\Clear-RecycleBin
Microsoft.PowerShell.Management.Activities.ConvertPath,Microsoft.PowerShell.Management\Convert-Path
Microsoft.PowerShell.Management.Activities.CopyItem,Microsoft.PowerShell.Management\Copy-Item
